date,country,total_cases,total_hospitalizations,total_icu,total_deaths,total_recovered,active_cases,regions_count,avg_age,mortality_rate,recovery_rate,processed_at
2020-07-11,FRANCE,"",6995,470,19514,78454,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-12,FRANCE,"",6991,473,19515,78486,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-13,FRANCE,"",6941,467,19533,78586,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-14,FRANCE,"",6907,465,19539,78670,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-15,FRANCE,"",6873,457,19559,78809,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-16,FRANCE,"",6754,456,19577,79025,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-17,COLOMBIA,863,"","",13,0,0,23,38.025492468134416,1.51,0.0,2026-02-25T07:01:18.070+01:00
2020-07-17,FRANCE,"",6646,452,19591,79233,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-18,COLOMBIA,2659,"","",110,0,0,28,40.49680330951485,4.14,0.0,2026-02-25T07:01:18.070+01:00
2020-07-18,FRANCE,"",6614,450,19599,79322,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-19,FRANCE,"",6583,448,19600,79384,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-20,FRANCE,"",6547,442,19616,79530,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-21,FRANCE,"",6440,430,19629,79723,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-22,FRANCE,"",6324,420,19636,79946,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-23,FRANCE,"",5915,411,19646,80461,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-24,COLOMBIA,296,"","",7,0,0,1,36.46283783783784,2.36,0.0,2026-02-25T07:01:18.070+01:00
2020-07-24,FRANCE,"",5678,385,19656,80804,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-25,COLOMBIA,2439,"","",84,0,0,32,38.55555555555556,3.44,0.0,2026-02-25T07:01:18.070+01:00
2020-07-25,FRANCE,"",5634,368,19664,80915,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-26,FRANCE,"",5640,367,19665,80947,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-27,FRANCE,"",5614,374,19673,81071,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-28,FRANCE,"",5510,361,19688,81300,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-29,FRANCE,"",5409,356,19703,81489,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-30,COLOMBIA,1179,"","",32,0,0,28,39.295165394402034,2.71,0.0,2026-02-25T07:01:18.070+01:00
